title,description,img_url,price,user_id
Winston Porter Canada Hockey Ice Skates Graphic Art on Canvas,Features: Canada collection Includes hanging accessories Made with 100% cotton canvas Square shape 100% Anti-shrink pine wood bars and Epson anti-fade ultra chrome inks Made in the USA Product Type: Graphic Art Print Type: Graphic Art Print Primary Art Material: Canvas Primary Art Material Details: Color: Black;,https://i.ebayimg.com/00/s/NDAwWDQwMA==/z/pq0AAOSw7HlfR5l9/$_59.JPG,91.99,3
Highland Dunes Rain Shower Print on Wrapped Canvas,This gallery wrapped giclee canvas art print of Rain Shower by Cora Niele is created on the finest quality artist-grade canvas utilizing premier fade-resistant archival inks that ensure vibrant lasting colours for years to come. Every detail of the artwork is reproduced to museum quality specifications by our,https://i.ebayimg.com/00/s/NDAwWDQwMA==/z/E54AAOSwSbFfPl02/$_59.JPG,85.99,10
Sewing mashine,Selling a sewing mashine for $80. In a good conditions. Works perfectly. Box is included. Easy to use for everyone.,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/2DMAAOSwA3tfR73s/$_59.PNG,80.00,6
"Haviland ""Rosedale"" Ceramic Dish","Haviland ""Rosedale"" ceramic dish, 5x4x1in 12x10x2cm, made in France. Have 2x available with different patterns, at $8 each.",https://i.ebayimg.com/00/s/NjAxWDgwMA==/z/KGcAAOSw409ZvA63/$_59.JPG,8.00,5
Ferris Wheel Photograph Print,Ferris Wheel photography 5x7 inches print. signed by photographer,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/TR4AAOSwc4dea4r2/$_59.JPG,5.00,6
Cats- Alley Cat Social Photography Print,Alley Cat Social photography 5x7 inches print. Signed by photographer. Photo taken in Montreal.,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/rboAAOSwIWxea4m0/$_59.JPG,5.00,6
Cactus Photograph Print,Cactus photograph 5x7 inches print. Signed by photographer,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/v1EAAOSwRsJea4jY/$_59.JPG,5.00,10
ArtWall Espresso Floral I by Jan Weiss Graphic Art on Rolled Canvas,Jan Weiss 'Espresso Foral I' canvas poster is an espresso toned art print created with original illustrations and layered with textures for added depth and dimension. This would be a calm tranquil piece to add to any living room or office.,https://i.ebayimg.com/00/s/NDAwWDQwMA==/z/AiYAAOSwO5xfRO~V/$_59.JPG,48.99,3
Space 1999 Eagle NEW!,Sixteen 12 eagle diecast new in box never opened. Limited Edition of 1000. Collision Course Episode 12 inches,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/c1YAAOSwLGRfR77H/$_59.JPG,450.00,8
"Sadler Teapot ""12 Twelve Days of Christmas"" England","VINTAGE Sadler China Tea Pot ""12 Twelve Days of Christmas"" England Scotish",https://i.ebayimg.com/00/s/NDUwWDgwMA==/z/WIsAAOSwR2RZ9fdl/$_59.JPG,45.00,3
